cusip,assets_nis_1000s,assets_usd,assets_usd_mn
1137751.0,13825.0,3843480.68,3.84
1123223.0,12514.0,3479010.29,3.48
1121185.0,139764.0,38855713.09,38.86
1138619.0,117829.0,32757575.76,32.76
1116441.0,1102831.0,306597442.31,306.6
1116458.0,640828.0,178156241.31,178.16
1116300.0,11074.0,3078676.68,3.08
1116466.0,36154.0,10051153.74,10.05
1116474.0,30626.0,8514317.49,8.51
1124155.0,248947.0,69209619.13,69.21
1128164.0,52308.0,14542118.43,14.54
1128172.0,123434.0,34315818.74,34.32
1128214.0,436862.0,121451765.36,121.45
1128180.0,24784.0,6890186.27,6.89
1128198.0,4679.0,1300806.23,1.3
1130368.0,158017.0,43930219.63,43.93
1130350.0,273909.0,76149291.08,76.15
1130988.0,49606.0,13790936.89,13.79
1130996.0,273575.0,76056435.92,76.06
1131002.0,176943.0,49191826.52,49.19
1131796.0,307319.0,85437586.88,85.44
1131804.0,278.0,77286.63,0.08
1132596.0,20919.0,5815679.73,5.82
1132620.0,95238.0,26477064.22,26.48
1134964.0,19416.0,5397831.53,5.4
1137850.0,40003.0,11121212.12,11.12
1116318.0,7460.0,2073950.51,2.07
1118520.0,4220.0,1173199.89,1.17
1118538.0,10318.0,2868501.53,2.87
1118546.0,11058.0,3074228.52,3.07
1118553.0,12233.0,3400889.63,3.4
1128552.0,28016.0,7788712.82,7.79
1128560.0,222412.0,61832638.31,61.83
1130335.0,136959.0,38075896.58,38.08
1131010.0,22314.0,6203502.92,6.2
1131846.0,4462.0,1240478.18,1.24
1132646.0,11831.0,3289129.83,3.29
1132653.0,25579.0,7111203.78,7.11
1133818.0,19223.0,5344175.7,5.34
1134014.0,81499.0,22657492.35,22.66
1134741.0,55826.0,15520155.69,15.52
1136217.0,2840.0,789546.84,0.79
1129014.0,98710.0,27442313.04,27.44
1128941.0,17181.0,4776480.4,4.78
1128990.0,4969.0,1381428.97,1.38
1128974.0,89709.0,24939949.96,24.94
1123231.0,202238.0,56224075.62,56.22
1123249.0,601271.0,167159021.41,167.16
1124171.0,13917.0,3869057.55,3.87
1124189.0,444155.0,123479288.3,123.48
1124163.0,106666.0,29654156.24,29.65
1128206.0,73163.0,20340005.56,20.34
1130376.0,397363.0,110470670.0,110.47
1130392.0,167481.0,46561301.08,46.56
1130384.0,178579.0,49646649.99,49.65
1131838.0,177288.0,49287739.78,49.29
1131788.0,28131.0,7820683.9,7.82
1131812.0,21901.0,6088685.02,6.09
1132604.0,128013.0,35588824.02,35.59
1132612.0,11753.0,3267445.09,3.27
1134956.0,16602.0,4615512.93,4.62
1134972.0,27432.0,7626355.3,7.63
1137843.0,3219.0,894912.43,0.89
1137819.0,38448.0,10688907.42,10.69
1137777.0,4747.0,1319710.87,1.32
1137785.0,8180.0,2274117.32,2.27
1137793.0,14227.0,3955240.48,3.96
1137827.0,30184.0,8391437.31,8.39
1137801.0,11467.0,3187934.39,3.19
1134733.0,30701.0,8535168.2,8.54
1138601.0,42516.0,11819849.87,11.82
1120849.0,1780.0,494856.83,0.49
1120856.0,247.0,68668.33,0.07
1123595.0,2024.0,562691.13,0.56
1113224.0,1364.0,379204.89,0.38
1093160.0,77292.0,21487906.59,21.49
1096718.0,11020.0,3063664.16,3.06
1097500.0,26460.0,7356130.11,7.36
1097526.0,163543.0,45466499.86,45.47
1097575.0,17573.0,4885460.11,4.89
1097617.0,3601.0,1001112.04,1.0
1097625.0,52732.0,14659994.44,14.66
1098102.0,53209.0,14792604.95,14.79
1098110.0,71928.0,19996663.89,20.0
1098441.0,6681.0,1857381.15,1.86
1099308.0,1931.0,536836.25,0.54
1099464.0,203646.0,56615512.93,56.62
1099472.0,122698.0,34111203.78,34.11
1101633.0,1210304.0,336475952.18,336.48
1102912.0,234826.0,65283847.65,65.28
1102920.0,5892.0,1638031.69,1.64
1103167.0,36514.0,10151237.14,10.15
1105550.0,157893.0,43895746.46,43.9
1105725.0,51505.0,14318876.84,14.32
1105733.0,37304.0,10370864.61,10.37
